0x1B56	0x0056	#	LATIN CAPITAL LETTER V
0x1B57	0x0057	#	LATIN CAPITAL LETTER W
0x1B58	0x0058	#	LATIN CAPITAL LETTER X
0x1B59	0x0059	#	LATIN CAPITAL LETTER Y
0x1B5A	0x005A	#	LATIN CAPITAL LETTER Z
0x1B5B	0x17CD	#	KHMER SIGN TOANDAKHIAT (CANCELLATION MARK)
0x1B5F	0x17D1	#	KHMER SIGN VIRIAM (VIRAMA)
0x1B60	0x00BC	#	VULGAR FRACTION ONE QUARTER
0x1B61	0x00BD	#	VULGAR FRACTION ONE HALF
0x1B62	0x00BE	#	VULGAR FRACTION THREE QUARTERS
0x1B63	0x201C	#	LEFT DOUBLE QUOTATION MARK
0x1B64	0x201D	#	RIGHT DOUBLE QUOTATION MARK
0x1B65	0x00A4	#	CURRENCY SIGN
0x1B66	0x03A9	#	GREEK CAPITAL LETTER OMEGA (ohm sign)
0x1B67	0x03BC	#	GREEK SMALL LETTER MU (micro sign)
0x1B68	0x00B0	#	DEGREE SIGN
0x1B69	0x00D7	#	MULTIPLICATION SIGN
0x1B6A	0x00F7	#	DIVISION SIGN
0x1B6B	0x00B1	#	PLUS-MINUS SIGN
0x1B6C	0x2030	#	PER MILLE SIGN
0x1B6D	0x00AB	#	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6E	0x00BB	#	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6F	0x2019	#	RIGHT SINGLE QUOTATION MARK
0x1B70	0x26A0	#	WARNING SIGN (can be rendered in emoji style)
0x1B71	0x221E	#	INFINITY
0x1B72	0x00B2	#	SUPERSCRIPT TWO	(also CSI56:1m2CSI56m)
0x1B73	0x00B3	#	SUPERSCRIPT THREE	(also CSI56:1m3CSI56m)
0x1B74	0x17DC	#	KHMER SIGN AVAKRAHASANYA avakraha sannya
0x1B75	0x17DB	#	KHMER CURRENCY SYMBOL RIEL
0x1B76	0x17A3	#	KHMER INDEPENDENT VOWEL QAQ	* use of this character is strongly discouraged; 17A2 should be used instead
0x1C	0x1786	#	KHMER LETTER CHA
0x1D	0x1787	#	KHMER LETTER CO
0x1E	0x1788	#	KHMER LETTER CHO
0x1F	0x1789	#	KHMER LETTER NYO
0x20	0x0020	#	SPACE
0x21	0x178A	#	KHMER LETTER DA
0x22	0x178C	#	KHMER LETTER DO
0x23	0x0023	#	NUMBER SIGN
0x25	0x178B	#	KHMER LETTER TTHA
0x26	0x178D	#	KHMER LETTER TTHO
0x27	0x178E	#	KHMER LETTER NNO
0x28	0x178F	#	KHMER LETTER TA
0x29	0x1790	#	KHMER LETTER THA
0x2A	0x002A	#	ASTERISK
0x2B	0x002B	#	PLUS SIGN
0x2C	0x002C	#	COMMA
0x2D	0x1791	#	KHMER LETTER TO
0x2E	0x002E	#	FULL STOP
0x2F	0x002F	#	SOLIDUS
0x30	0x0030	#	DIGIT ZERO
0x31	0x0031	#	DIGIT ONE
