0x1B66	0x03A9	#	GREEK CAPITAL LETTER OMEGA (ohm sign)
0x1B67	0x03BC	#	GREEK SMALL LETTER MU (micro sign)
0x1B68	0x00B0	#	DEGREE SIGN
0x1B69	0x00D7	#	MULTIPLICATION SIGN
0x1B6A	0x00F7	#	DIVISION SIGN
0x1B6B	0x00B1	#	PLUS-MINUS SIGN
0x1B6C	0x2030	#	PER MILLE SIGN
0x1B6D	0x00AB	#	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6E	0x00BB	#	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6F	0x2019	#	RIGHT SINGLE QUOTATION MARK 
0x1B70	0x26A0	#	WARNING SIGN (can be rendered in emoji style)
0x1B71	0x221E	#	INFINITY
0x1B72	0x00B2	#	SUPERSCRIPT TWO	(also CSI56:1m2CSI56m)
0x1B73	0x00B3	#	SUPERSCRIPT THREE	(also CSI56:1m3CSI56m)
0x1B75	0x0BF9	#	TAMIL RUPEE SIGN
0x1B76	0x0BF3	#	TAMIL DAY SIGN
0x1B77	0x0BF4	#	TAMIL MONTH SIGN
0x1B78	0x0BF5	#	TAMIL YEAR SIGN  (these are still found in traditional account books and documents)
0x1B79	0x0BF8	#	TAMIL AS ABOVE SIGN
0x1B7A	0x11FEE	#	TAMIL IN POSSESSION SIGN (two 16-bit codes in UTF-16: 0xD807 0xDFEE) historical
0x1B7B	0x11FEF	#	TAMIL STARTING FROM SIGN (two 16-bit codes in UTF-16: 0xD807 0xDFEF) historical
0x1B7C	0x11FF0	#	TAMIL SIGN MUTHALIYA (two 16-bit codes in UTF-16: 0xD807 0xDFF0) historical
0x1B7D	0x11FF1	#	TAMIL SIGN VAKAIYARAA (two 16-bit codes in UTF-16: 0xD807 0xDFF1) historical
0x1D	0x0B9C	#	TAMIL LETTER JA
0x1F	0x0B9E	#	TAMIL LETTER NYA
0x20	0x0020	#	SPACE
0x21	0x0BA4	#	TAMIL LETTER TA
0x22	0x0B9F	#	TAMIL LETTER TTA
0x23	0x0023	#	NUMBER SIGN

0x2A	0x002A	#	ASTERISK
0x2B	0x002B	#	PLUS SIGN
0x2C	0x002C	#	COMMA
0x2D	0x0BA8	#	TAMIL LETTER NA
0x2E	0x002E	#	FULL STOP
0x2F	0x002F	#	SOLIDUS
0x30	0x0030	#	DIGIT ZERO
0x31	0x0031	#	DIGIT ONE
0x32	0x0032	#	DIGIT TWO
0x33	0x0033	#	DIGIT THREE
0x34	0x0034	#	DIGIT FOUR
0x35	0x0035	#	DIGIT FIVE
0x36	0x0036	#	DIGIT SIX
0x37	0x0037	#	DIGIT SEVEN
0x38	0x0038	#	DIGIT EIGHT
0x39	0x0039	#	DIGIT NINE
0x3A	0x003A	#	COLON
0x3B	0x003B	#	SEMICOLON
0x3C	0x0BA3	#	TAMIL LETTER NNA
0x3D	0x0BAA	#	TAMIL LETTER PA
0x3F	0x003F	#	QUESTION MARK
0x42	0x0BAE	#	TAMIL LETTER MA
0x43	0x0BAF	#	TAMIL LETTER YA
0x44	0x0BB0	#	TAMIL LETTER RA
0x45	0x0BB1	#	TAMIL LETTER RRA
0x46	0x0BB2	#	TAMIL LETTER LA
0x47	0x0BB3	#	TAMIL LETTER LLA
0x48	0x0BB4	#	TAMIL LETTER LLLA
0x49	0x0BB5	#	TAMIL LETTER VA
0x4A	0x0BB8	#	TAMIL LETTER SA
0x4B	0x0BB7	#	TAMIL LETTER SSA
0x4C	0x0BB6	#	TAMIL LETTER SHA
0x4D	0x0BB9	#	TAMIL LETTER HA
0x50	0x0BBE	#	TAMIL VOWEL SIGN AA
0x51	0x0BBF	#	TAMIL VOWEL SIGN I
0x52	0x0BC0	#	TAMIL VOWEL SIGN II
0x53	0x0BC1	#	TAMIL VOWEL SIGN U
0x54	0x0BC2	#	TAMIL VOWEL SIGN UU
0x58	0x0BC6	#	TAMIL VOWEL SIGN E
0x59	0x0BC7	#	TAMIL VOWEL SIGN EE
0x5A	0x0BC8	#	TAMIL VOWEL SIGN AI
0x5B	0x0BD7	#	TAMIL AU LENGTH MARK (candra o)
0x5C	0x0BCA	#	TAMIL VOWEL SIGN O
0x5D	0x0BCB	#	TAMIL VOWEL SIGN OO
0x5E	0x0BCC	#	TAMIL VOWEL SIGN AU
0x5F	0x0BCD	#	TAMIL SIGN VIRAMA
0x60	0x0BD0	#	TAMIL OM
0x61	0x0061	#	LATIN SMALL LETTER A
0x62	0x0062	#	LATIN SMALL LETTER B
0x63	0x0063	#	LATIN SMALL LETTER C
0x64	0x0064	#	LATIN SMALL LETTER D
0x65	0x0065	#	LATIN SMALL LETTER E
0x66	0x0066	#	LATIN SMALL LETTER F
0x67	0x0067	#	LATIN SMALL LETTER G
0x68	0x0068	#	LATIN SMALL LETTER H
0x69	0x0069	#	LATIN SMALL LETTER I
0x6A	0x006A	#	LATIN SMALL LETTER J
0x6B	0x006B	#	LATIN SMALL LETTER K
0x6C	0x006C	#	LATIN SMALL LETTER L
0x6D	0x006D	#	LATIN SMALL LETTER M
0x6E	0x006E	#	LATIN SMALL LETTER N
0x6F	0x006F	#	LATIN SMALL LETTER O
0x70	0x0070	#	LATIN SMALL LETTER P
0x71	0x0071	#	LATIN SMALL LETTER Q
0x72	0x0072	#	LATIN SMALL LETTER R
0x73	0x0073	#	LATIN SMALL LETTER S
0x74	0x0074	#	LATIN SMALL LETTER T
0x75	0x0075	#	LATIN SMALL LETTER U
0x76	0x0076	#	LATIN SMALL LETTER V
0x77	0x0077	#	LATIN SMALL LETTER W
0x78	0x0078	#	LATIN SMALL LETTER X
0x79	0x0079	#	LATIN SMALL LETTER Y
0x7A	0x007A	#	LATIN SMALL LETTER Z
