0x1B6C	0x2030	#	PER MILLE SIGN
0x1B6D	0x00AB	#	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6E	0x00BB	#	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6F	0x2019	#	RIGHT SINGLE QUOTATION MARK
0x1B70	0x26A0	#	WARNING SIGN (can be rendered in emoji style)
0x1B71	0x221E	#	INFINITY
0x1B72	0x00B2	#	SUPERSCRIPT TWO	(also CSI56:1m2CSI56m)
0x1B73	0x00B3	#	SUPERSCRIPT THREE	(also CSI56:1m3CSI56m)

0x1B7B	0x0429	#	CYRILLIC CAPITAL LETTER SHCHA
0x1B7C	0x046A	#	CYRILLIC CAPITAL LETTER BIG YUS
0x1B7D	0x042C	#	CYRILLIC CAPITAL LETTER SOFT SIGN
0x1B7E	0x042E	#	CYRILLIC CAPITAL LETTER YU
0x1B7F	0x042F	#	CYRILLIC CAPITAL LETTER YA
0x1C	0x0463	#	CYRILLIC SMALL LETTER YAT
0x1D	0x0430	#	CYRILLIC SMALL LETTER A
0x1E	0x0431	#	CYRILLIC SMALL LETTER BE
0x1F	0x0432	#	CYRILLIC SMALL LETTER VE
0x20	0x0020	#	SPACE
0x21	0x0021	#	EXCLAMATION MARK
0x22	0x0022	#	QUOTATION MARK
0x23	0x0023	#	NUMBER SIGN
0x24	0x20AC	#	EURO SIGN
0x25	0x0025	#	PERCENT SIGN
0x26	0x0026	#	AMPERSAND
0x27	0x0027	#	APOSTROPHE
0x28	0x0028	#	LEFT PARENTHESIS
0x29	0x0029	#	RIGHT PARENTHESIS
0x2A	0x002A	#	ASTERISK
0x2B	0x002B	#	PLUS SIGN
0x2C	0x002C	#	COMMA
0x2D	0x002D	#	HYPHEN-MINUS
0x2E	0x002E	#	FULL STOP
0x2F	0x002F	#	SOLIDUS
0x30	0x0030	#	DIGIT ZERO
0x31	0x0031	#	DIGIT ONE
0x32	0x0032	#	DIGIT TWO
0x33	0x0033	#	DIGIT THREE
0x34	0x0034	#	DIGIT FOUR
0x35	0x0035	#	DIGIT FIVE
0x36	0x0036	#	DIGIT SIX
0x37	0x0037	#	DIGIT SEVEN
0x38	0x0038	#	DIGIT EIGHT
0x39	0x0039	#	DIGIT NINE
0x3A	0x003A	#	COLON
0x3B	0x003B	#	SEMICOLON
0x3C	0x003C	#	LESS-THAN SIGN
0x3D	0x003D	#	EQUALS SIGN
0x3E	0x003E	#	GREATER-THAN SIGN
0x3F	0x003F	#	QUESTION MARK
0x40	0x0433	#	CYRILLIC SMALL LETTER GHE
0x41	0x0491	#	CYRILLIC SMALL LETTER GHE WITH UPTURN
0x42	0x0434	#	CYRILLIC SMALL LETTER DE
0x43	0x0452	#	CYRILLIC SMALL LETTER DJE
0x44	0x0435	#	CYRILLIC SMALL LETTER IE
0x45	0x0454	#	CYRILLIC SMALL LETTER UKRAINIAN IE
0x46	0x0436	#	CYRILLIC SMALL LETTER ZHE
0x47	0x0437	#	CYRILLIC SMALL LETTER ZE
0x48	0x0438	#	CYRILLIC SMALL LETTER I
0x49	0x0456	#	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0x4A	0x0457	#	CYRILLIC SMALL LETTER YI
0x4B	0x0439	#	CYRILLIC SMALL LETTER SHORT I
0x4C	0x0458	#	CYRILLIC SMALL LETTER JE
0x4D	0x043A	#	CYRILLIC SMALL LETTER KA
0x4E	0x043B	#	CYRILLIC SMALL LETTER EL
0x4F	0x0459	#	CYRILLIC SMALL LETTER LJE
0x50	0x043C	#	CYRILLIC SMALL LETTER EM
0x51	0x043D	#	CYRILLIC SMALL LETTER EN
0x52	0x045A	#	CYRILLIC SMALL LETTER NJE
0x53	0x043E	#	CYRILLIC SMALL LETTER O
0x54	0x043F	#	CYRILLIC SMALL LETTER PE
0x55	0x0440	#	CYRILLIC SMALL LETTER ER
0x56	0x0441	#	CYRILLIC SMALL LETTER ES
0x57	0x0442	#	CYRILLIC SMALL LETTER TE
0x58	0x045B	#	CYRILLIC SMALL LETTER TSHE
0x59	0x0443	#	CYRILLIC SMALL LETTER U
0x5A	0x0444	#	CYRILLIC SMALL LETTER EF
0x5B	0x0445	#	CYRILLIC SMALL LETTER HA
0x5C	0x0446	#	CYRILLIC SMALL LETTER TSE
0x5D	0x0447	#	CYRILLIC SMALL LETTER CHE
0x5E	0x045F	#	CYRILLIC SMALL LETTER DZHE
0x5F	0x0448	#	CYRILLIC SMALL LETTER SHA

0x61	0x0061	#	LATIN SMALL LETTER A
0x62	0x0062	#	LATIN SMALL LETTER B
0x63	0x0063	#	LATIN SMALL LETTER C
0x64	0x0064	#	LATIN SMALL LETTER D
0x65	0x0065	#	LATIN SMALL LETTER E
0x66	0x0066	#	LATIN SMALL LETTER F
0x67	0x0067	#	LATIN SMALL LETTER G
0x68	0x0068	#	LATIN SMALL LETTER H
0x69	0x0069	#	LATIN SMALL LETTER I
0x6A	0x006A	#	LATIN SMALL LETTER J
0x6B	0x006B	#	LATIN SMALL LETTER K
0x6C	0x006C	#	LATIN SMALL LETTER L
0x6D	0x006D	#	LATIN SMALL LETTER M
0x6E	0x006E	#	LATIN SMALL LETTER N
0x6F	0x006F	#	LATIN SMALL LETTER O
0x70	0x0070	#	LATIN SMALL LETTER P
0x71	0x0071	#	LATIN SMALL LETTER Q
0x72	0x0072	#	LATIN SMALL LETTER R
0x73	0x0073	#	LATIN SMALL LETTER S
0x74	0x0074	#	LATIN SMALL LETTER T
0x75	0x0075	#	LATIN SMALL LETTER U
0x76	0x0076	#	LATIN SMALL LETTER V
0x77	0x0077	#	LATIN SMALL LETTER W
0x78	0x0078	#	LATIN SMALL LETTER X
0x79	0x0079	#	LATIN SMALL LETTER Y
0x7A	0x007A	#	LATIN SMALL LETTER Z
0x7B	0x0449	#	CYRILLIC SMALL LETTER SHCHA
0x7C	0x046B	#	CYRILLIC SMALL LETTER BIG YUS
0x7D	0x044C	#	CYRILLIC SMALL LETTER SOFT SIGN
0x7E	0x044E	#	CYRILLIC SMALL LETTER YU
0x7F	0x044F	#	CYRILLIC SMALL LETTER YA
