0x1B65	0x00A4	#	CURRENCY SIGN
0x1B66	0x03A9	#	GREEK CAPITAL LETTER OMEGA (ohm sign)
0x1B67	0x03BC	#	GREEK SMALL LETTER MU (micro sign)
0x1B68	0x00B0	#	DEGREE SIGN
0x1B69	0x00D7	#	MULTIPLICATION SIGN
0x1B6A	0x00F7	#	DIVISION SIGN
0x1B6B	0x00B1	#	PLUS-MINUS SIGN
0x1B6C	0x2030	#	PER MILLE SIGN
0x1B6D	0x00AB	#	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6E	0x00BB	#	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6F	0x2019	#	RIGHT SINGLE QUOTATION MARK 
0x1B70	0x26A0	#	WARNING SIGN (can be rendered in emoji style)
0x1B71	0x221E	#	INFINITY
0x1B72	0x00B2	#	SUPERSCRIPT TWO	(also CSI56:1m2CSI56m)
0x1B73	0x00B3	#	SUPERSCRIPT THREE	(also CSI56:1m3CSI56m)
0x1C	0x05B8	#	HEBREW POINT QAMATS (aah)
0x1D	0x05C7	#	HEBREW POINT QAMATS QATAN
0x1E	0x05F3	#	HEBREW PUNCTUATION GERESH
0x1F	0x05F4	#	HEBREW PUNCTUATION GERSHAYIM
0x20	0x0020	#	SPACE
0x21	0x0021	#	EXCLAMATION MARK
0x22	0x0022	#	QUOTATION MARK
0x23	0x0023	#	NUMBER SIGN
0x24	0x20AC	#	EURO SIGN
0x25	0x0025	#	PERCENT SIGN
0x26	0x0026	#	AMPERSAND
0x27	0x0027	#	APOSTROPHE
0x28	0x0028	#	LEFT PARENTHESIS
0x29	0x0029	#	RIGHT PARENTHESIS
0x2A	0x002A	#	ASTERISK
0x2B	0x002B	#	PLUS SIGN
0x2C	0x002C	#	COMMA
0x2D	0x002D	#	HYPHEN-MINUS
0x2E	0x002E	#	FULL STOP
0x2F	0x002F	#	SOLIDUS
0x30	0x0030	#	DIGIT ZERO
0x31	0x0031	#	DIGIT ONE
0x32	0x0032	#	DIGIT TWO
0x33	0x0033	#	DIGIT THREE
0x34	0x0034	#	DIGIT FOUR
0x35	0x0035	#	DIGIT FIVE
0x36	0x0036	#	DIGIT SIX
0x37	0x0037	#	DIGIT SEVEN
0x38	0x0038	#	DIGIT EIGHT
0x39	0x0039	#	DIGIT NINE
0x3A	0x003A	#	COLON
0x3B	0x003B	#	SEMICOLON
0x3C	0x003C	#	LESS-THAN SIGN
0x3D	0x003D	#	EQUALS SIGN
0x3E	0x003E	#	GREATER-THAN SIGN
0x3F	0x003F	#	QUESTION MARK
#0x40
0x41	0x05D0	#	HEBREW LETTER ALEF
0x42	0x05D1	#	HEBREW LETTER BET
0x43	0x05D2	#	HEBREW LETTER GIMEL
0x44	0x05D3	#	HEBREW LETTER DALET
0x45	0x05D4	#	HEBREW LETTER HE
0x46	0x05D5	#	HEBREW LETTER VAV
0x47	0x05D6	#	HEBREW LETTER ZAYIN
0x48	0x05D7	#	HEBREW LETTER HET
0x49	0x05D8	#	HEBREW LETTER TET
0x4A	0x05D9	#	HEBREW LETTER YOD
0x4B	0x05DA	#	HEBREW LETTER FINAL KAF
0x4C	0x05DB	#	HEBREW LETTER KAF
0x4D	0x05DC	#	HEBREW LETTER LAMED
0x4E	0x05DD	#	HEBREW LETTER FINAL MEM
0x4F	0x05DE	#	HEBREW LETTER MEM
0x50	0x05DF	#	HEBREW LETTER FINAL NUN
0x51	0x05E0	#	HEBREW LETTER NUN
0x52	0x05E1	#	HEBREW LETTER SAMEKH
0x53	0x05E2	#	HEBREW LETTER AYIN
0x54	0xFB20	#	HEBREW LETTER ALTERNATIVE AYIN
0x55	0x05E3	#	HEBREW LETTER FINAL PE
0x56	0x05E4	#	HEBREW LETTER PE
0x57	0x05E5	#	HEBREW LETTER FINAL TSADI
0x58	0x05E6	#	HEBREW LETTER TSADI
0x59	0x05E7	#	HEBREW LETTER QOF
0x5A	0x05E8	#	HEBREW LETTER RESH
0x5B	0x05E9	#	HEBREW LETTER SHIN
0x5C	0x05EA	#	HEBREW LETTER TAV
0x5D	0x05F0	#	HEBREW LIGATURE YIDDISH DOUBLE VAV
0x5E	0x05F1	#	HEBREW LIGATURE YIDDISH VAV YOD
0x5F	0x05F2	#	HEBREW LIGATURE YIDDISH DOUBLE YOD
0x61	0x0061	#	LATIN SMALL LETTER A
0x62	0x0062	#	LATIN SMALL LETTER B
0x63	0x0063	#	LATIN SMALL LETTER C
0x64	0x0064	#	LATIN SMALL LETTER D
0x65	0x0065	#	LATIN SMALL LETTER E
0x66	0x0066	#	LATIN SMALL LETTER F
0x67	0x0067	#	LATIN SMALL LETTER G
0x68	0x0068	#	LATIN SMALL LETTER H
0x69	0x0069	#	LATIN SMALL LETTER I
0x6A	0x006A	#	LATIN SMALL LETTER J
0x6B	0x006B	#	LATIN SMALL LETTER K
0x6C	0x006C	#	LATIN SMALL LETTER L
0x6D	0x006D	#	LATIN SMALL LETTER M
0x6E	0x006E	#	LATIN SMALL LETTER N
0x6F	0x006F	#	LATIN SMALL LETTER O
0x70	0x0070	#	LATIN SMALL LETTER P
0x71	0x0071	#	LATIN SMALL LETTER Q
0x72	0x0072	#	LATIN SMALL LETTER R
0x73	0x0073	#	LATIN SMALL LETTER S
0x74	0x0074	#	LATIN SMALL LETTER T
0x75	0x0075	#	LATIN SMALL LETTER U
0x76	0x0076	#	LATIN SMALL LETTER V
0x77	0x0077	#	LATIN SMALL LETTER W
0x78	0x0078	#	LATIN SMALL LETTER X
0x79	0x0079	#	LATIN SMALL LETTER Y
0x7A	0x007A	#	LATIN SMALL LETTER Z

0x7B	0xFB1D	#	HEBREW LETTER YOD WITH HIRIQ
0x7C	0xFB1F	#	HEBREW LIGATURE YIDDISH YOD YOD PATAH

0x7D	0x05BE	#	HEBREW PUNCTUATION MAQAF (Hebrew hyphen, looks like hyphen... though higher up)
### While zero-width, these should have visible glyphs; like a narrow bar with a ‘flag’ indicating direction.
0x7E	0x200E	#	LEFT-TO-RIGHT MARK	(in particular for: to 'force' the desired directionality of a 'bidi neautral' like comma, full stop, quote mark, etc. in case of directionality change around it; 0xFFFD if no RTL char in the line)
0x7F	0x200F	#	RIGHT-TO-LEFT MARK	(in particular for: to 'force' the desired directionality of a 'bidi neautral' like comma, full stop, quote mark, etc. in case of directionality change around it; 0xFFFD if no RTL char in the line)
### Bidi AL to be handled as bidi R, except arabic punctuation which is to be handled as ON; 
### all bidi EN and AN to be handled as L; all ET, ES, CS to be handled as ON for SMS/CBS.
### 'Paragraph direction' is always LTR for SMS/CBS. There are no nestable bidi controls in SMS/CBS.
### Bidi mirroring applies; however, bidi mirroring does not apply to arrows, even though arrows most often
### refer to the adjacent text components, and not external directions; it is up to the author to mirror arrows.
