0x1B2D	0x2A7D	#	LESS-THAN OR SLANTED EQUAL TO
0x1B2E	0x2A7E	#	GREATER-THAN OR SLANTED EQUAL TO
0x1B2F	0x005C	#	REVERSE SOLIDUS
0x1B30	0x0104	#	LATIN CAPITAL LETTER A WITH OGONEK
0x1B31	0x0105	#	LATIN SMALL LETTER A WITH OGONEK
0x1B32	0x0118	#	LATIN CAPITAL LETTER E WITH OGONEK
0x1B33	0x0119	#	LATIN SMALL LETTER E WITH OGONEK
0x1B34	0x00DE	#	LATIN CAPITAL LETTER THORN
0x1B35	0x00FE	#	LATIN SMALL LETTER THORN
0x1B36	0x00D0	#	LATIN CAPITAL LETTER ETH
0x1B37	0x00F0	#	LATIN SMALL LETTER ETH
0x1B38	0x0110	#	LATIN CAPITAL LETTER D WITH STROKE
0x1B39	0x0111	#	LATIN SMALL LETTER D WITH STROKE
0x1B3A	0x2248	#	ALMOST EQUAL TO
0x1B3B	0x2260	#	NOT EQUAL TO
0x1B3C	0x005B	#	LEFT SQUARE BRACKET
0x1B3D	0x007E	#	TILDE
0x1B3E	0x005D	#	RIGHT SQUARE BRACKET
0x1B3F	0x00B7	#	MIDDLE DOT
0x1B40	0x007C	#	VERTICAL LINE
0x1B41	0x0106	#	LATIN CAPITAL LETTER C WITH ACUTE
0x1B42	0x0107	#	LATIN SMALL LETTER C WITH ACUTE
0x1B43	0x0141	#	LATIN CAPITAL LETTER L WITH STROKE
0x1B44	0x0142	#	LATIN SMALL LETTER L WITH STROKE
0x1B45	0x0143	#	LATIN CAPITAL LETTER N WITH ACUTE
0x1B46	0x0144	#	LATIN SMALL LETTER N WITH ACUTE
0x1B47	0x015A	#	LATIN CAPITAL LETTER S WITH ACUTE
0x1B48	0x015B	#	LATIN SMALL LETTER S WITH ACUTE
0x1B49	0x0179	#	LATIN CAPITAL LETTER Z WITH ACUTE
0x1B4A	0x017A	#	LATIN SMALL LETTER Z WITH ACUTE
0x1B4B	0x016E	#	LATIN CAPITAL LETTER U WITH RING ABOVE
0x1B4C	0x016F	#	LATIN SMALL LETTER U WITH RING ABOVE
0x1B4D	0x00C0	#	LATIN CAPITAL LETTER A WITH GRAVE
0x1B4E	0x0130	#	LATIN CAPITAL LETTER I WITH DOT ABOVE
0x1B4F	0x0153	#	LATIN SMALL LIGATURE OE
0x1B50	0x0152	#	LATIN CAPITAL LIGATURE OE
0x1B51	0x011A	#	LATIN CAPITAL LETTER E WITH CARON
0x1B52	0x011E	#	LATIN CAPITAL LETTER G WITH BREVE
0x1B53	0x015E	#	LATIN CAPITAL LETTER S WITH CEDILLA
0x1B54	0x011B	#	LATIN SMALL LETTER E WITH CARON
0x1B55	0x00DA	#	LATIN CAPITAL LETTER U WITH ACUTE
0x1B56	0x00CD	#	LATIN CAPITAL LETTER I WITH ACUTE
0x1B57	0x00C2	#	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x1B58	0x00CA	#	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x1B59	0x00CE	#	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x1B5A	0x00DB	#	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x1B5B	0x00CB	#	LATIN CAPITAL LETTER E WITH DIAERESIS
0x1B5C	0x00CF	#	LATIN CAPITAL LETTER I WITH DIAERESIS
0x1B5D	0x00C3	#	LATIN CAPITAL LETTER A WITH TILDE
0x1B5E	0x00D5	#	LATIN CAPITAL LETTER O WITH TILDE
0x1B5F	0x00D3	#	LATIN CAPITAL LETTER O WITH ACUTE
0x1B60	0x00BC	#	VULGAR FRACTION ONE QUARTER
0x1B61	0x00BD	#	VULGAR FRACTION ONE HALF
0x1B62	0x00BE	#	VULGAR FRACTION THREE QUARTERS
0x1B63	0x201C	#	LEFT DOUBLE QUOTATION MARK
0x1B64	0x201D	#	RIGHT DOUBLE QUOTATION MARK
0x1B65	0x00A4	#	CURRENCY SIGN
0x1B66	0x03A9	#	GREEK CAPITAL LETTER OMEGA (ohm sign)
0x1B67	0x03BC	#	GREEK SMALL LETTER MU (micro sign)
0x1B68	0x00B0	#	DEGREE SIGN
0x1B69	0x00D7	#	MULTIPLICATION SIGN
0x1B6A	0x00F7	#	DIVISION SIGN
0x1B6B	0x00B1	#	PLUS-MINUS SIGN
0x1B6C	0x2030	#	PER MILLE SIGN
0x1B6D	0x00AB	#	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6E	0x00BB	#	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x1B6F	0x2019	#	RIGHT SINGLE QUOTATION MARK
0x1B70	0x26A0	#	WARNING SIGN (can be rendered in emoji style)
0x1B71	0x221E	#	INFINITY
0x1B72	0x00B2	#	SUPERSCRIPT TWO	(also CSI56:1m2CSI56m)
0x1B73	0x00B3	#	SUPERSCRIPT THREE	(also CSI56:1m3CSI56m)
0x1B74	0x0131	#	LATIN SMALL LETTER DOTLESS I
0x1B75	0x00FA	#	LATIN SMALL LETTER U WITH ACUTE
0x1B76	0x00ED	#	LATIN SMALL LETTER I WITH ACUTE
0x1B77	0x00E2	#	LATIN SMALL LETTER A WITH CIRCUMFLEX
0x1B78	0x00EA	#	LATIN SMALL LETTER E WITH CIRCUMFLEX
0x1B79	0x00EE	#	LATIN SMALL LETTER I WITH CIRCUMFLEX
0x1B7A	0x00FB	#	LATIN SMALL LETTER U WITH CIRCUMFLEX
0x1B7B	0x00EB	#	LATIN SMALL LETTER E WITH DIAERESIS
0x1B7C	0x00EF	#	LATIN SMALL LETTER I WITH DIAERESIS
0x1B7D	0x00E3	#	LATIN SMALL LETTER A WITH TILDE
0x1B7E	0x00F5	#	LATIN SMALL LETTER O WITH TILDE
0x1B7F	0x00F3	#	LATIN SMALL LETTER O WITH ACUTE
0x1C	0x00C6	#	LATIN CAPITAL LETTER AE
0x1D	0x00E6	#	LATIN SMALL LETTER AE
0x1E	0x00DF	#	LATIN SMALL LETTER SHARP S
0x1F	0x00C9	#	LATIN CAPITAL LETTER E WITH ACUTE
0x20	0x0020	#	SPACE
0x21	0x0021	#	EXCLAMATION MARK		behövs inte i alla	1b0C (om har plus nu)
0x22	0x0022	#	QUOTATION MARK
0x23	0x0023	#	NUMBER SIGN			borde vara i alla
0x24	0x20AC	#	EURO SIGN
0x25	0x0025	#	PERCENT SIGN
0x26	0x0026	#	AMPERSAND
0x27	0x0027	#	APOSTROPHE
0x28	0x0028	#	LEFT PARENTHESIS		behövs inte i alla	1b17 (om har number sign)
0x29	0x0029	#	RIGHT PARENTHESIS		behövs inte i alla	1b18 (om har asterix)
